movie_id,user_id,actual,predict
10080,1239426,5,5
10080,768929,4,4
10080,59596,5,5
10080,2568985,4,4
10080,2112666,5,5
10080,599223,1,1
10080,2041154,4,4
10080,795052,5,5
10080,2354900,5,5
10080,1638217,5,5
10080,1568512,5,5
10080,1857316,5,5
10080,2456061,3,4
10080,1648844,4,4
10080,1230136,5,5
10080,1948678,5,5
10080,2374401,5,5
10080,1460899,5,5
10080,267308,5,5
10080,44140,5,5
10080,128040,5,5
10080,1573067,4,4
10080,72567,5,5
10080,2189707,5,5
10080,1915141,5,5
10080,1065047,5,5
10080,20549,5,5
10080,1610030,5,5
10152,1135980,2,2
10152,1846783,4,4
10152,108667,5,5
10152,800355,5,5
10152,13969,4,4
10152,2526931,3,3
10152,1634512,5,5
10152,415530,4,4
10152,2229348,4,4
10152,78373,3,3
10152,213734,5,5
10162,897496,4,4
10162,802513,4,4
10162,1265624,4,4
10162,1360742,4,4
10162,2157145,3,3
10162,1628219,4,4
10162,820587,5,5
10162,998373,4,4
10162,2277646,3,3
10162,1494115,4,4
1040,2587940,3,3
10486,1314979,3,2
10486,1413347,2,2
10636,1157883,4,4
10671,139188,2,2
10712,391820,2,2
10712,2209521,5,5
10811,312153,3,3
111,1767934,2,2
111,1424046,3,3
111,1127288,2,2
111,1175365,4,5
111,1970207,2,2
111,194062,5,5
111,1246904,5,5
111,1407450,5,5
111,351406,2,2
111,1391141,3,3
111,916290,3,3
111,2016602,4,4
111,1979358,4,4
111,1848380,4,4
111,1375330,1,1
111,2270822,5,5
111,214140,3,3
111,772605,1,1
111,111130,1,1
111,1764771,3,3
111,1069914,4,4
111,2035699,2,2
111,1249467,3,3
111,1112379,4,4
111,2562516,4,4
111,580707,2,2
11654,1150203,2,2
11654,2189074,5,5
11654,763418,1,1
11654,567892,1,1
11654,968600,5,5
11889,1337517,3,3
12075,957166,3,3
12075,1511155,5,5
13502,2253748,3,3
1415,1927143,3,3
1514,1222729,4,4
1660,1469990,5,5
1660,1562454,4,4
1660,109241,5,5
1660,1122380,5,5
1660,679947,3,3
1665,1881833,2,2
1665,2452621,5,5
1665,10612,3,3
1665,1482399,1,1
1665,2157301,2,2
1665,1465891,3,3
1665,1058762,2,2
1665,519966,1,1
1665,2025320,5,5
1665,625873,4,4
1665,565986,3,3
1665,31747,5,5
1665,2438093,2,2
1665,1275375,2,2
1665,718938,3,3
1665,2577726,1,1
1911,2439904,5,5
268,1436924,3,3
268,2222363,4,4
268,201459,4,4
268,370097,4,4
268,2258818,2,2
268,649597,4,4
268,1911583,5,5
268,296728,4,4
268,2309611,4,4
268,303846,4,4
268,2205942,3,3
3015,1485800,2,2
3015,1048172,3,3
3015,140529,4,4
3015,1403409,1,1
3015,732729,4,3
3015,842277,3,3
3015,2040209,2,2
3015,2566341,3,3
3015,1282763,4,4
3015,303230,3,3
3015,803481,3,3
3015,1473627,3,3
3015,2135100,3,3
3015,1315883,5,5
3015,106149,3,3
3015,2460223,3,3
3015,246245,3,3
3015,2068067,3,3
3015,1495417,4,4
3015,1165724,4,4
3015,564655,2,2
3015,2139511,4,4
3015,2408023,4,4
3015,2579145,4,5
3015,2099924,2,2
3015,1967898,3,3
3015,1531284,3,3
3015,630088,4,4
3015,853878,2,2
3015,1506167,3,3
3015,2349766,3,3
3015,1135078,3,3
3015,1210462,3,3
3015,1840486,2,2
3015,1196287,1,1
3015,40170,1,1
3015,880332,2,2
3015,988959,1,1
3015,2485580,4,4
3015,1947030,4,4
3015,932346,3,3
3015,2595396,1,1
3015,1122530,2,2
3015,2173688,3,3
3015,74916,3,3
3015,910173,3,3
3015,2292529,1,1
3015,1509767,4,4
3015,1350729,3,3
3015,1559136,4,4
3015,1201388,4,4
3015,1643796,2,2
3015,1388100,4,1
3015,222720,2,2
3015,65078,3,3
3113,2231550,3,3
3113,185411,5,5
3113,2600143,2,2
3113,305283,3,3
3113,2197275,4,4
3113,2263437,3,3
3650,1879645,5,5
3650,1068870,3,3
3650,782389,4,4
3650,89722,3,3
3650,395087,3,3
3650,183492,4,4
3650,1092004,4,4
3650,555222,4,4
3650,1817984,5,5
3650,2295875,4,4
3650,412077,4,4
3650,890713,4,5
3650,2417253,4,4
3650,2536474,4,1
3650,2328452,4,4
3650,1762386,4,4
3650,2061807,5,5
3798,1335711,4,4
3798,453622,4,4
3798,1767150,4,4
3798,1069612,4,4
3798,2062580,4,4
3798,1996360,5,5
3798,2493933,4,4
3798,125868,5,5
3798,1842994,5,3
3798,1011442,5,5
3798,1646618,5,5
3798,1283882,4,4
3798,1523097,5,5
3798,759526,4,4
3798,1736256,4,4
3798,768066,5,5
3798,2572064,4,4
3798,2058461,4,4
3798,2293424,5,5
3798,1689050,5,5
3798,516826,3,3
3798,1381920,5,5
3798,835778,3,3
3798,2327834,5,5
3798,2031931,5,5
3798,1651997,4,4
3798,314858,3,3
3798,2585474,4,4
3798,504674,4,4
3804,2598028,5,5
3935,2561751,4,4
3935,841764,2,2
3935,1308864,5,5
3935,441719,5,5
3935,673322,3,3
3935,37959,3,3
3935,2549592,1,4
3935,1836116,5,5
3935,419500,4,4
3935,1689043,2,2
4037,1188048,5,5
4037,2135101,4,4
4037,2025284,3,3
4040,164912,5,5
4040,1704015,3,3
4040,1089949,5,5
4040,1855380,2,2
4753,2574997,1,1
4753,1504503,5,5
4753,1150537,3,3
4753,1879907,3,3
4753,2019302,2,2
4753,1912995,2,2
4753,1829244,3,3
4753,405866,4,4
4753,1868285,3,3
4753,4832,1,1
4753,410284,2,2
4753,1289280,1,1
4753,173092,1,1
5387,2222827,3,3
5387,1816909,2,2
5417,664527,4,4
5483,1003128,1,1
5483,385261,1,1
5528,142547,5,5
5528,1526490,2,2
5528,2045413,1,4
5528,1124216,5,5
5528,111463,5,5
5528,1124220,2,2
5528,940938,4,4
5528,1748012,5,5
5528,589942,4,4
5528,1579673,4,3
5528,1633956,2,2
5528,635394,5,5
5528,1277829,5,5
5528,2069857,4,4
5528,212917,5,5
5528,2579761,5,5
5528,866501,4,4
5528,2603592,2,2
5528,323991,2,2
5528,728234,4,4
5528,188851,4,4
5528,809841,3,3
5528,711263,1,1
5528,2544767,5,5
5732,1215826,5,5
5732,1368753,5,5
5732,2639803,4,4
5732,1109822,4,4
5732,2195955,4,4
5732,1980203,4,4
5732,1864787,2,2
5732,219558,4,4
5732,1251366,5,1
5732,2018773,5,5
5732,230514,4,4
5732,2358695,4,4
5732,1845955,2,2
5732,2384836,5,5
5732,1464310,5,5
5732,1830170,5,5
5732,1564095,5,5
5732,1987494,5,5
5732,1730547,5,5
5732,2014384,5,5
5732,1962115,5,5
5732,150784,4,4
5732,1481299,4,4
5732,2443801,5,5
5732,1591131,5,4
5732,2366447,5,5
5732,322360,3,3
5732,1031153,5,5
5732,1438187,4,4
5732,1113902,4,4
5732,1998956,4,4
5732,197101,4,4
5732,649837,4,4
5732,1734872,4,4
5732,730742,5,5
5732,1121512,5,5
5732,774513,5,5
5732,2365385,5,5
5732,2130638,4,4
5732,1894190,4,4
5732,2407442,4,4
5732,1100144,5,5
5732,2167858,3,3
5732,2436213,5,5
5732,1485106,4,4
5732,869419,4,4
5732,633866,3,3
5732,2251567,5,5
5732,82728,5,5
5732,2528713,5,5
5732,136368,5,5
5732,993035,4,4
5732,1345123,4,3
5732,2443239,5,5
5732,182670,4,4
5732,50279,5,5
5732,509486,5,5
588,1070563,5,5
6631,568072,2,2
6631,991889,2,2
6631,898764,4,4
6631,276251,3,3
6631,2213776,3,3
6631,298401,2,2
6631,492845,2,2
6631,65450,3,3
6631,1813909,5,5
6631,558239,2,2
6631,2229935,1,1
6631,277926,3,3
6631,1337981,2,2
6631,789514,1,1
6631,1511575,3,3
6631,2299217,3,3
6631,1139531,3,3
6631,2593463,1,1
6631,588932,3,3
6631,920623,4,5
6631,1026705,5,5
6631,960280,3,3
6631,2310733,2,2
6631,2433823,1,1
6631,1911219,3,3
6631,1952214,3,3
6631,1145438,2,2
6631,2464265,3,3
6631,2191753,3,3
6631,144410,1,1
6631,898484,1,1
6631,644426,4,3
6631,362940,2,2
6631,2573818,1,1
6631,1668271,4,4
6631,2331672,1,1
6631,704029,2,2
6631,2048093,5,5
6631,1770976,3,5
6631,2428100,4,4
6631,2107738,3,3
6631,446040,3,3
6631,985849,4,4
6631,1844966,3,3
6631,1593533,4,4
6631,151986,5,5
6631,1785367,1,1
6631,1838016,2,2
6631,210188,3,3
6631,2647324,2,2
6631,1142489,3,3
6631,604107,1,1
6631,1308331,4,4
6631,1408170,1,5
6631,254434,3,3
6631,748025,2,2
6631,815054,1,1
6631,2627882,4,4
6631,625476,2,2
6631,1289394,3,3
6631,1543331,2,2
6631,1906629,3,3
6631,472579,2,2
6631,1743229,4,4
6631,658066,4,4
6631,749172,3,3
6631,1552518,2,2
6631,1720615,1,1
6631,2320613,3,3
6631,2096706,4,4
6631,479821,2,2
6631,2605836,4,4
6631,443256,1,1
6631,1155538,3,3
6631,2064312,3,4
6631,627364,2,2
6631,580306,4,4
6631,2551922,1,1
6631,1326702,3,3
6631,430284,2,2
6631,1370927,1,1
6631,1955281,2,2
6631,2573128,3,3
6631,571401,3,3
6631,2078442,4,4
6631,1692544,4,4
6631,969401,4,4
6631,597961,3,3
6631,129501,2,2
6631,603214,3,3
6631,1887686,1,1
6631,972127,5,5
6631,97906,3,3
6631,892188,4,4
6631,157643,3,3
6631,1412209,1,1
6631,1177633,3,3
6631,1672241,3,3
