movie_id,user_id
10080,229220
10080,1296825
10080,934140
10080,2518320
10080,683880
10080,1409611
10080,2324522
10080,1515269
10080,650808
10080,624334
10080,1015960
10080,181985
10080,1658683
10080,241712
10080,477696
10080,825966
10080,835771
10080,2452192
10080,49429
10080,1627837
10080,1818887
10080,1239426
10080,1694860
10080,921405
10080,1042749
10080,1121110
10080,1953117
10080,1308624
10080,1344730
10080,1361853
10080,1238356
10080,253707
10080,1611693
10080,1216933
10080,2600588
10080,1352887
10080,457909
10080,384781
10080,1159110
10080,1708857
10080,2000071
10080,2202242
10080,354857
10080,1487731
10080,1837671
10080,2633459
10080,2360159
10080,2100626
10080,2029590
10080,356410
10080,2221143
10080,342609
10080,2246138
10080,2456331
10080,2409550
10080,703131
10080,1175506
10080,505375
10080,2027895
10080,2216724
10080,2425452
10080,21212
10080,1919510
10080,966868
10080,2291972
10080,2209932
10080,1865959
10080,1351545
10080,1689573
10080,1135980
10080,2284646
10080,928192
10080,1279382
10080,768929
10080,1588895
10080,2360740
10080,281979
10080,564596
10080,298669
10080,767938
10080,1053600
10080,16477
10080,870405
10080,426066
10080,534306
10080,1463625
10080,1022161
10080,791621
10080,2600419
10080,2366251
10080,1394815
10080,413883
10080,85082
10080,1455730
10080,2124228
10080,1177965
10080,1645243
10080,1233631
10080,1081832
10080,2336349
10080,59596
10080,1879955
10080,774369
10080,1382862
10080,1568541
10080,443286
10080,647171
10080,1084071
10080,2310468
10080,1715756
10080,607633
10080,1550492
10080,1697635
10080,602785
10080,292758
10080,375995
10080,623297
10080,1283908
10080,1418302
10080,363539
10080,156747
10080,2465094
10080,2072590
10080,1637013
10080,424935
10080,2056256
10080,1949208
10080,957348
10080,163928
10080,2350485
10080,1853715
10080,2545689
10080,2243508
10080,1438634
10080,1734231
10080,1078058
10080,811134
10080,2448511
10080,193059
10080,1422021
10080,1606775
10080,1672587
10080,2568985
10080,438879
10080,1129746
10080,1811113
10080,522520
10080,894354
10080,2267950
10080,2192915
10080,536631
10080,2337099
10080,140287
10080,2440264
10080,45960
10080,2112666
10080,1467298
10080,766313
10080,2213136
10080,183489
10080,28774
10080,1489023
10080,29880
10080,2605324
10080,2192158
10080,30514
10080,135019
10080,139211
10080,164882
10080,350766
10080,1132123
10080,2362832
10080,2316403
10080,2598710
10080,599223
10080,2131047
10080,170811
10080,1691409
10080,999972
10080,2201083
10080,10737
10080,2160193
10080,75830
10080,1800998
10080,1468226
10080,91871
10080,2582793
