movie_id,user_id,actual_rate
10080,229220,5.0
10080,1296825,5.0
10080,934140,5.0
10080,2518320,5.0
10080,683880,5.0
10080,1409611,3.0
10080,2324522,5.0
10080,1515269,5.0
10080,650808,5.0
10080,624334,4.0
10080,1015960,5.0
10080,181985,5.0
10080,1658683,5.0
10080,241712,1.0
10080,477696,5.0
10080,825966,5.0
10080,835771,3.0
10080,2452192,5.0
10080,49429,5.0
10080,1627837,5.0
10080,1818887,5.0
10080,1239426,5.0
10080,1694860,5.0
10080,921405,5.0
10080,1042749,5.0
10080,1121110,5.0
10080,1953117,5.0
10080,1308624,5.0
10080,1344730,5.0
10080,1361853,5.0
10080,1238356,5.0
10080,253707,4.0
10080,1611693,4.0
10080,1216933,5.0
10080,2600588,5.0
10080,1352887,5.0
10080,457909,5.0
10080,384781,5.0
10080,1159110,5.0
10080,1708857,1.0
10080,2000071,5.0
10080,2202242,4.0
10080,354857,4.0
10080,1487731,5.0
10080,1837671,5.0
10080,2633459,5.0
10080,2360159,5.0
10080,2100626,5.0
10080,2029590,5.0
10080,356410,3.0
10080,2221143,5.0
10080,342609,4.0
10080,2246138,4.0
10080,2456331,5.0
10080,2409550,4.0
10080,703131,3.0
10080,1175506,5.0
10080,505375,2.0
10080,2027895,4.0
10080,2216724,5.0
10080,2425452,5.0
10080,21212,5.0
10080,1919510,5.0
10080,966868,3.0
10080,2291972,4.0
10080,2209932,5.0
10080,1865959,5.0
10080,1351545,5.0
10080,1689573,3.0
10080,1135980,4.0
10080,2284646,4.0
10080,928192,5.0
10080,1279382,5.0
10080,768929,4.0
10080,1588895,5.0
10080,2360740,5.0
10080,281979,4.0
10080,564596,4.0
10080,298669,5.0
10080,767938,5.0
10080,1053600,5.0
10080,16477,5.0
10080,870405,5.0
10080,426066,5.0
10080,534306,4.0
10080,1463625,2.0
10080,1022161,5.0
10080,791621,5.0
10080,2600419,3.0
10080,2366251,5.0
10080,1394815,5.0
10080,413883,4.0
10080,85082,5.0
10080,1455730,5.0
10080,2124228,4.0
10080,1177965,5.0
10080,1645243,4.0
10080,1233631,3.0
10080,1081832,5.0
10080,2336349,5.0
10080,59596,5.0
10080,1879955,5.0
10080,774369,5.0
10080,1382862,5.0
10080,1568541,4.0
10080,443286,5.0
10080,647171,5.0
10080,1084071,5.0
10080,2310468,5.0
10080,1715756,5.0
10080,607633,5.0
10080,1550492,4.0
10080,1697635,5.0
10080,602785,5.0
10080,292758,5.0
10080,375995,5.0
10080,623297,4.0
10080,1283908,5.0
10080,1418302,4.0
10080,363539,4.0
10080,156747,5.0
10080,2465094,3.0
10080,2072590,5.0
10080,1637013,5.0
10080,424935,4.0
10080,2056256,4.0
10080,1949208,5.0
10080,957348,5.0
10080,163928,4.0
10080,2350485,4.0
10080,1853715,2.0
10080,2545689,5.0
10080,2243508,5.0
10080,1438634,5.0
10080,1734231,4.0
10080,1078058,5.0
10080,811134,4.0
10080,2448511,1.0
10080,193059,5.0
10080,1422021,3.0
10080,1606775,5.0
10080,1672587,5.0
10080,2568985,4.0
10080,438879,5.0
10080,1129746,5.0
10080,1811113,5.0
10080,522520,5.0
10080,894354,4.0
10080,2267950,5.0
10080,2192915,5.0
10080,536631,5.0
10080,2337099,5.0
10080,140287,5.0
10080,2440264,5.0
10080,45960,5.0
10080,2112666,5.0
10080,1467298,4.0
10080,766313,4.0
10080,2213136,5.0
10080,183489,5.0
10080,28774,5.0
10080,1489023,4.0
10080,29880,5.0
10080,2605324,5.0
10080,2192158,5.0
10080,30514,5.0
10080,135019,4.0
10080,139211,4.0
10080,164882,5.0
10080,350766,4.0
10080,1132123,5.0
10080,2362832,5.0
10080,2316403,5.0
10080,2598710,5.0
10080,599223,1.0
10080,2131047,5.0
10080,170811,4.0
10080,1691409,4.0
10080,999972,4.0
10080,2201083,1.0
10080,10737,5.0
10080,2160193,5.0
10080,75830,5.0
10080,1800998,3.0
10080,1468226,5.0
