movie_id,truth
1,3.875574936
2,3.857198129
3,3.747462698
4,2.905680786
5,4.108518547
6,3.166468737
7,2.297796558
8,3.258403078
9,2.832844143
10,3.367554428
11,3.163801407
12,3.569954969
13,4.543949825
14,3.320613517
15,3.447514478
16,3.182971372
17,2.96916985
18,3.856294085
19,3.483438134
20,3.50820915
21,3.611876409
22,2.309611851
23,3.732970681
24,3.096891869
25,4.121081848
26,2.860182388
27,3.840764454
28,3.876831273
29,3.81754583
30,3.811836166
31,3.341217508
32,4.184780071
33,4.259951031
34,2.82962633
35,3.24360518
36,3.149825989
37,4.147976425
38,2.107939312
39,2.534752902
40,3.015758327
41,1.732380027
42,2.4157424
43,2.833357683
44,3.76260684
45,3.046786826
46,3.880471565
47,3.425034739
48,3.819127687
49,3.873310249
50,3.212682304
51,3.723624112
52,3.82073625
53,1.749477859
54,3.153489093
55,3.120574381
56,3.730809455
57,3.758981384
58,3.677473208
59,2.907296806
60,2.240397191
61,3.243726539
62,3.784932094
63,3.439553023
64,2.597366086
65,2.431942072
66,2.390275734
67,2.672399619
68,4.254752494
69,3.621430947
70,2.810454256
71,3.885541427
72,3.396603412
73,4.002259126
74,3.295211395
75,2.662709431
76,4.213141881
77,2.940577322
78,3.047592053
79,3.852052643
80,2.915157946
81,3.527155445
82,3.233328571
83,3.790443718
84,3.318424654
85,4.30496177
86,2.046523663
87,2.998343029
88,3.966185661
89,2.848598271
90,3.615219291
91,4.042943796
92,3.932534135
93,2.787144233
94,3.864022691
95,2.685059883
96,3.543925323
97,3.92582557
98,3.994005033
99,2.58699029
100,3.009356507
101,3.541923858
102,2.82613596
103,3.997188023
104,3.77862075
105,3.222273632
106,4.224112049
107,3.412716938
108,3.226459619
109,2.789227312
110,3.119090196
111,3.138018721
112,3.169166419
113,3.99784257
114,3.517917879
115,3.685535927
116,3.643953068
117,3.579302943
118,3.511035666
119,2.854302976
120,2.500497648
121,3.867954086
122,2.978283422
123,2.94872615
124,2.393543504
125,3.447734341
126,3.293830255
127,2.769451146
128,3.452165135
129,2.225467549
130,2.357547687
131,2.83797593
132,3.197126211
133,3.86415584
134,2.28556546
135,4.337943891
136,3.112499235
137,2.494954349
138,4.051158537
139,2.781680888
140,2.662336808
141,3.139553311
142,2.999972068
143,3.909674749
144,3.356329611
145,3.226872598
146,2.499746557
147,2.26919683
148,3.380379954
149,3.778880933
150,3.02980275
151,2.081788326
152,3.999921212
153,2.859717074
154,3.091551575
155,3.708356232
156,3.569856367
157,3.519032257
158,2.72373307
159,4.063907281
160,3.149326662
161,3.975579114
